"","x"
"186","Use it in sous vide cooking and works like a charm.  Connected it to a hot plate with a huge pot of water with a vegetable steamer to hold the food above the heating element surface.  What resulted was mind blowing for me; was able to do perfectly cooked hard boiled eggs, poached eggs in-shell, exactly cooked steaks (pan seared afterwards obviously), and the best chicken I have ever tasted in my life.  Can also be used in a kegerator, but a perfectly chilled beer does not bring quite the eureka moment that a perfectly cooked piece of chicken does.Total cost of my entire sous vide rig was only 90 dollars with this control unite vice the 200+ for the ""professional"" gear.  This is an industrial grade temperature control unite for 1/3 of the price.  Go with this and you won't be sorry."
"187","This item has worked perfectly.  I bought a chest freezer to use as my kegerator and it keeps the temp right where I put it."
"188","I order this temp controller to regulate a refiguator at a wider tempature range. This first unit arrived and I installed it. It worked for the first cycle, but would not cool after that. Exchanged messages with the vendor and determined it was defective. They sent me a replacment quickly and has worked perfectly. Temp control is very accurate with plenty of options for diffrent setups with the digital readout. Other temp controllers I looked at did these functions or required to be hard wired into the system making them perminent, not what I was looking for."
"189","I attached this device to my deep freezer. The results were great. It maintains good temperature range with little work, just set it up and go. I use my chest freezer for lagering my home brew and have never veered off temperature with this thing. If you are looking for accurate results, I highly recommend getting one."
"190","Great product. be sure and read the instructions as you may need to change the jumpers for your application."
"191","This is the second unit I purchased and thru Amazon is the cheapest place to get them. It is very accurate and easy to set up. The issue with overshoot is a function of the freezer, that by the time it hits the set temp and shuts off the compressor, it is on its way down and can end up 2-5 degrees lower than desired. Overall, I am satisfied with the unit"
"192","Nice, easy to use for home brewing.  Instructions pretty clear.  Unfortunately, my unit seems to come with Fahrenheit only rather than the option to switch between F and Centigrade as the manual suggests."
"193","I use this to control a  aquaponics tank for Tillipa, works perfectly once you get it set up, I called johnson controls and they were the greatest to deal with, will buy more of there products if needed. Pay attention to the instructions and the jumper location and you will have no trouble, this unit will work for cooling as well as heating with the jumpers in the correct location.If you use the sensor submersed you must put it in some kind of tube, I took a piece of 1/2 copper and sweated a cap on the end, dropped the sensor down the tube and filled it with sand, works perfectly. Hope this was help to someone."
"194","Bought this controller to use on a Danby Kegerator.  The Danby had wide temperature variations and was consistently too warm resulting in foamy beer.  The controller worked perfectly to remedy the problem and give me cold beer with appropriate foam.  One note for anyone using the controller for a similar situation.  Some minor wiring is required to take control away from the Danby controller.  Detailed instructions are available online by searching for 'Danby Kegerator Improvements'.  Took about 5 minutes and was well worth the effort and the $."
"195","I, like others here bought this product as a DIY sous vide setup. I’m giving the product 5 stars because it did exactly what it said it would do. However, I ended up returning it. Here’s why: I used this in conduction with a (traditional Hamilton Beach) crock pot and it worked fairly well. The problem was, with my crockpot, the controller would shut off right at 130 degrees (for steak at medium rare) but the temperature would climb up to 134F before reversing course and falling back down. I contribute that to the design of the crockpot (where the heating element is outside of the thick porcelain), and so the product does exactly what it’s supposed to do but there’s a 4 degree swing with my setup. Considering the Sous Vide Supreme says it’ll keep the water within a half a degree F of the set temp, 4 degree swing was too much for me. I ended up setting the temp at 126 (to allow it to reach a max temp of 130.)So if A, you have a different heating element to keep the temp swings down or B, don’t mind 4 degree temp swings, this might work great for you."
"196","Bought this to control the temp in a chest freezer turned into a kegerator. Works perfectly, solid construction, and simple to set up and run. I've since bought several more for friends' kegerators."
"197","I needed a temperature control unit to turn a upright commercial freezer into a termperature control chamber for my conical fermenter.  What I especially appreciate about this unit versus the analog unit is the ability to see the actual ambient temperature where the thermocouple is located.  Also the wide range of temperature and Anti Cycle settings are a big plus."
"198","Didn't work. Returned"
"199","Purchased this last christmas as part of a keezer build. Quick and easy to install, and does a great job keeping the temperature regulated inside the chest freezer. I have never had anything remotely come close to freezing. Worth every penny."
"200","Used it to convert a stand up freezer into a refrigerator. Accurate and reliable. We used another relay instead of the built in one as the freezer pulled 25amps."
"201","great control for my keginator. works great!"
"202","I have 4 kegs of homebrew on tap at all times and this makes that all possible. I have helped several friends and family set up kegerators with this thermostat and a freezer as well. EricShirk.com"
"203","Love this controller!  I use it to control the temperature of the beer I make, to ensure it stays at a stable temperature in the fridge.  Works great!"
"204","i AM USING THE JOHNSON TO CONTROL THE TEMPERATURE OF MY FERMENTING BEER.  THE UNIT IS CONNECTED TO A PLASTIC HEAT WRAP FOR THE CARBOY. I WATCHED FOR A FEW DAYS TO SEE IT WAS ACCURATE.  THE ACCURACY ENDED UP WITHIN 1 DEGREE.  THE UNIT DOES HAVE TO BE OPENED UP TO MAKE THE CHANGE FROM HEATING TO COOLING. BUT THIS IS ONLY A 5+ MINUTE DEAL. COULD HAVE MADE A DIGITAL THERMOSTAT CONTROL UNIT, BUT FELT BY SHOPPING AROUND I WAS WITHIN $20 OF THE COST DIFFERENCE."
"205","Absolutely perfect for my needs.  Easy to use and has held up great.  I have no issues at all recommending this product to those in need of a temperature controller."
"206","this product works exactly as advertised. despite what others may post about the manual being too technical, setting up the unit was a breeze (desired temp, offset, etc aren't really difficult concepts). In hindsight, I do wish the chord for the temperature element was a few feet longer. The unit has been in use for about a month now on an upright freezer and functions flawlessly. I would recommend this to anyone wanting to run a freezer at warmer temps. Works great for beer fermentation chamber"
"207","GREAT BUY PRODUCT WAS EVERYTHING IN DESCRIPTION AND FOR THE BEST PRICE I COULD FIND. SATISFIED MY NEED FOR THE PRODUCT.THANKS! RECOMMENDED!"
"208","As described"
"209","I purchased the Johnson Controls Digital Thermostat Control Unit to do the temperature control on a deep freezer to kegerator conversion project.  It works exactly as like you expect it to.  Programming it was not trivial, but the manual is very useful, I had it working in about 20 minutes.  You will have to go through all the settings and what they mean (refer to manual) to get it set correctly (it's not obvious how to do it without it), but once it's set it works perfectly and doesn't require resetting, ever if it gets unplugged."
"210","Way better than the other kind I've been using. The override system works much more efficiently"
"211","Bought for home brewing to control temp! It is like a dream! Also use it for sous vide in my crock pot!"
"212","I use this to control the temperature of a heating mat placed under a 5 gallon carboy for brewing. It does the job perfectly!"
"213","Made a Kimchi Refrigerator out of a freezer with this, it is doing the job."
"214","It is so nice to walk out and have a home brew, on tap, at 40 degrees on a 90 degree day. I set this for storage at 68 degrees otherwise and it works great. Simple plug in operation and lcd readout."
"215","Been working great in my kegerator and purchased my second one,  for use in my deep freeze to lager my homebrew beer.  Very handy and accurate."
"216","Works great.  Like the fact that it has an offset so the compressor isn't kicking on every time the temperature changes 1 degree.  Very easy to use and accurate."
"217","It does exactly what it is supposed to do. The instructions were initially difficult to understand but once you reexamined what they were saying you just pull out the connector and viola... a perfect way to ferment beer at a temperature you desire without any massive fluctuations."
"218","This is quite expensive, however I have never been so happy with a thermostat. This thing is priceless"
"219","Holds temp like it should"
"220","I used this on a refrigerator to maintain a constant temperature to brew beer. I was very easy. Just plugged the refrigerator into the device.  Plug the device into the wall. Made a few control program changes for the temperature I wanted. It has maintained the temperature perfectly. There have been no problems with this unit."
"221","I bought this product for home brewing and use it with a mini fridge.  It is easy to adjust the temperatures on it and helps me keep my wort anywhere from 35 degrees to 65 degrees."
"222","Received the product exactly as advertised.Instructions are a little technical and do not explain everything perfectly but overall this is very easy to set up and can even be mounted to the wall or freezer.  I'm using it on a freezer to make it a refrigerator for extra efficiency.So far so good!"
"223","Using it in a chest freezer to control fermentation temps in south Texas. Aside from good sanitation practices fermentation control is crucial for home brewing and fermenting in ambient temps that don't coincide with your desired yeast temps are hard to control without a Johnson. Get one. Your home brew will thank you for it."
"224","I used this to convert my chest freezer into a kegerator. Its small enough to store inside the motor housing on the chest freezer. Its completely hidden and keeps my beer super cold."
"225","If you are converting a freezer to a keezer, this is what you need!  Really easy to program, adjust, and the temp probe cable is long enough to place it where you want it."
"226","This is a great product.  I have had no issues with this and the functionality is more than adequate for my chest freezer conversion to a kegerator.  Always holds a tight temperature tolerance."
"227","Easy to use, we are going to purchase a second one for our electric smoker.  This is a better fit than the controller that came with it"
"228","I have two of these for controlling beer fermentation and keezer temps.  Ultra simple, ultra reliable. Very happy with them."
"229","Easy to hook up and has successfully turned our chest freezer into a keezer!"
"230","Has turned fridge into a lager tun its awesome."
"231","We have been using this for about a month now. With a very large household, I needed a drink refrigerator that wouldn't cost a lot to purchase or to operate.Instead of buying a non-energy star $500 upright refrigerator/freezer that holds 14.2 cu ft in the frig section and costs $51/yr to operate under optimal conditions ($150/yr under heavy use), this control unit allowed me to take an energy star rated $300 15 cu ft chest freezer that costs $15/yr to operate as a freezer and turn it into a drink refrigerator. Based on the Kill-A-Watt data, it will cost me about $6/yr to operate it with heavy use.It does everything that it says it will do and does it well. It holds the temperature well while minimizing the wear and tear of the compressor."
"232","home made kegerator - great solid product"
"233","I bought this unit to convert a freezer to a 52 F lab chamber.  It set up easily and it works very well with a clear display.  I would have preferred more mounting options, as it is I just used clear packing tape to mount it to the side of the stainless steel freezer.Works well, solid construction, clear instructions, recommended."
"234","I use this for controlling a mini-fridge that I use for homebrewing. Super easy to use. You just plug in both ends, set the temp settings on the keypad, and you are set!"
"235","had this for a while now.  works great no problems"
"236","Well worth the money.  The most accurate thermostat so far.  The analog one isn't bad but this one is a little more reliable."
"237","I use it to control a 1500 watt heater in the chicken coop in winter.  Keeps a stable temperature.  Easy to program."
"238","Great unt have used it befor to control water temperature in our ultrasonic tanks"
"239","This works great on my chest freezer that I'm using as a fermentation chamber. It's a bit bulky, but overall it's pretty simple to use and is very accurate. Highly recommended for any homebrewers looking for a relatively inexpensive way to control temps."
"240","BEST THERE IS GOOD PRICE"
"241","Got this for a DIY sous vide setup.  Works flawlessly.  Excellent build quality."
"242","Hooked it up to a fermwrap for wine making.  Changed the jumpers for heating and it appears to work like a champ.  Holding steady at 72 degrees."
"243","Easy installation. Keeps your temperature floating around your desired temperature with minimal intervention on your part. Plus there is no need to install anything else to override your deep freezer's setup. Unlike other reviews, I haven't had a problem with short circuiting or sporadic failure after months of use."
"244","keeping my beer cold!!!! :)"
"245","Our fridge broke and we were able to use this to regulate the temperature until we could get a new one."
"246","Works Great"
"247","Works great with a thermowell but is a little bit of a pain to open up and move the jumper if you want to switch between heat mode and fridge mode frequently.  The versatility is awesome to have."
"248","Works AWSOME !"
"249","Work very well to maintain cooler temperatures in a chest freezer. Works great as a keg era to controller."
"250","Excellent high quality controller for my meat curing refrigerator."
"251","Excellent product!"
"252","Unit is simple and gets it right. I use it to control temperatures of chest freezers for fermenting, conditioning, and serving homebrew. I have three of them, and none of them have let me down! My requests to bring it to five stars would be...1. The ability to change between heating/cooling mode without unscrewing the unit and swapping little (delicate) pins around.2. Model option that allows for two stage temperature control, so that the same unit can control both a heating and cooling device. I currently have two of them side by side running my fermentation chamber - it needs to be cooled when the beer is actively fermenting, and heated once fermentation starts to subside.Highly recommended!"
"253","I used this to convert a chest freezer to a beer and wine storage unit. It keeps it within +/- 1 degree. Love it!"
"254","A must for a keezer. Keeps things right where I want it temperature wise with my freezer. Right around 37 degrees."
"255","Works perfectly, keeps my kegator at the perfect temperature all of the time.  Couldn't ask for anything more, a must have for all kegators"
"256","So far it's working great. I'm using as a controller for a propane gas valve for a smokehouse I just built."
"257","Using it to control refrigerator in brewing lager beer."
"258","This portable digital thermostat is easy to program and simple to operate.  I highly recommend it to anyone who needs a portable environmental control device."
"259","If your looking for something to regulate your new temp this is the perfect tool. It works like a charm"
"260","Bought this as a gift for my home-brewing husband.  Loves it!!  He uses it with every beer he ferments. Great product!"
"261","I have two of these on two different chest freezers to ferment and store homebrewed beer.  They work great."
"262","Keeps kegerator at the correct temperature."
"263","This is one well built unit.  Very professional and easy to use."
"264","Works as advertised. this truly is the best controller out there."
"265","With a little imagination this device can do just about anything with a 110v heating or cooling device.  I have made yogurt and sous vide with a crockpot but am moving on to making beer and who knows what else..  If you need a controlled temp this will likely do it."
"266","EXCELENT FOR BREWING FRIDGE WORKS GREAT"
"267","Price and performance unbeatable.  I shopped around and got this at close to analog price.  Only other option was building my own"
"268","If you're a homebrewer like me but not the most handy when it comes to wiring like some other controllers... this is the one for you! Very easy to use, instructions make programming a breeze. Have used for lager fermentation as well as for dispensing homebrew on draft! Temp is spot on.It's a little on the expensive side, but it is an excellent product!"
"269","I bought this for my cheese cave. I<m an artisan cheese maker and I need some very precise temperature control for aging cheese. I bought a cheap 35-bottle wine cooler with an analog/manual temp control. Since I've added the Johnson controler, the temperature has been stable by 1C variance. Very good! I couldn't ask for a better performance."
"270","I use this as a back-up thermostat for my entire snake room.  After figuring out how to use it(yes you actually have to read the instructions carefully!), using it was easy, and the probe is very sensitive and quick to respond to temperature changes."
"271","It works but needs skill and understanding from professional knowledge."
"272","Been using it now for a couple of years with my kegerator. Works great. Keeps my frosty brews at just the right temp."
"273","1"
"274","This worked so well, I bought a second one. Easy to set up and maintains a steady temp. I use mine  with a fermwrap around my carboy and it really raised my fermentation game."
"275","I bought this unit (twice!) to use as a temperature regulator for an upright freezer that I converted for use as a beer fridge. As such it is fantastic. In college, we used one of these units to cool our inexpensive light beer for parties. Say what you will about Natural Light---it is quite delicious when served at exactly 37 degress farenheit. This device makes that reliably possible, on a buget.To ensure that our beer was neither too cold nor too hot, I also purchased a wireless dual-thermometer set Chaney Instrument 00985 Wireless Refrigerator Freezer Thermometer Alarm Set. In retrospect, I did not need the thermometers: this Johnson Controls thermostat alone did a phenomenally accurate job of getting everything to the right temperature and keeping it there.If you are constructing a kegerator, or trying to brew your own beer, you want a freezer and this device. Refrigerators simply do not allow the precision temperature control and cooling cut-in/cut-out that this device allows for. Heck, you could use it to control a heat source such as in Sous Vide cookery if you are into that kind of thing. I can't speak authoritatively to other uses, but if you need to regulate a refrigeration device with the utmost precision, this device is exactly what you need."
"276","I've owned this unit for a few years now.  Works like a charm.  No problems, keeps the temperature correct for beer."
"277","Does a decent job of keeping slow cooker temps at set temp levels but is a bit hard to operate."
"278","Just what I needed. This is was exactly what I was looking for.  I would recommend this buyer to a friend."
"279","Still working 2 years later"
"280","Great product.  Less expensive than some similar digital options, but still performs admirably.  Most important for me, it is relatively easy to modify the wiring for several different applications (easy jumper settings for heating, cooling, cut-in, cut-out, but also able to reconfigure power or sensor cable as needed).  You'll be happy with this one."
"281","Did exactly what I wanted and expected it to."
"282","Nothing really to say, other than what is in the title. The instructions are a bit confusing for us non-engineer types, but by just experimenting with it I could figure it out. I use mine to keep my keezer in the 36-40 d F range and has worked flawlessly for the past month. I am happy with the purchase."
"283","So far so Good. very little set up time required, decent instructions I had it out of the box and controlling my fridge's temperature they way I needed it to be done in less then 20 minutes. The digital display is a great feature and I can monitor the temperature whenever I like. when and if  I need another thermostat controller for future projects I will buy the same one."
"284","This product works exactly as advertised and is very easy to install.  It has maintained my chest freezer at 60F in my garage in South Florida.  I can now brew lagers!!! very happy."
"285","I got 2 of these and they work perfect. I have not had an issue with them in the 2 or 3 years I have had them."
"286","Has kept a constant temperature in my fridge for 6 months now. Setup was easy."
"287","Okay - if you brew  your own beer or if you own a kegerator...  ...this thing is the trick.  I set mine at 32 degrees, plugged in my Keezer and the thing worked perfectly."
"288","A bit cumbersome with all the wires but it works great and I have been making delicious food."
"289","Works great. Glad I purchased the completely assembled controller. Had it running the  fridge with an hour after it arrived. Works perfect.  Takes all the hassle out of keeping the beer at the correct fermentation temp. The price was great also."
"290","This temp controller is as good as it gets. I'm using it for my chest freezer turned kegerator and it works perfectly. I looked at some other models, but what I liked about this one was the fact that its usable right out of the box, no wiring necessary. Its really easy to use and adjust. I'd recommend this to anyone."
"291","i loved this temp control cooler, using it for my home brews and it works great."
"292","Have had this for a while now and it works flawlessly."
"293","Ordered this control to regulate fluid temperature. It works for that, although I can find no info as to whether the sensor is submersible or not. Probably not, though it still works that way."
"294","We were turned on to this when our kegerator froze a couple of our kegs.  I would recommend this product for anybody with a smaller refrigerator.  The termostates in those are not high quality and most only have a reastat (cold to colder).  This unit has a digital readout so you can set the temperature exact with no concerns of your keg or sodas freezing!"
"295","Receiced very fast shipped and was very happy with product"
"296","This unit works great but it's really complicated. Even with the manual in your hands it can be difficult to understand. I actually used Google searches to fine tune mine similar to the way other mead home brewers had. This is what my brother had and he configured his for me until I got a replacement. It worked so well I bought the same model. As an aside make sure that you purchase one with all of the cabling. I accidentally got one without the cables at first that was just like this one (Same picture and everything) but cheaper."
"297","Still working good on our kegerator after a few years. good stuff."
"298","Will keep your keezer above freezing and has the settings to keep it from short-cycling."
"299","This is so cool. I wish I would have just got this from the very beginning. I would have saved more money in the long run."
"300","works great, keeps my beer at the proper temperature before I drink it!"
"301","Great temp control for my keezer conversion.  A little pricier than others but worth it in my opinion."
"302","Use this along with a Holiday 5.0 ft freezer to store kegs.  Works like a champ.  You may need to play with the placement of the temperature probe.  I found that suspending it about 4 to 5 inches from the bottom is ideal."
"303","Using this to control heating pads under small plants to control soil temp.  Had it programmed and controlling the pads in less then 5 minutes.  Simple to use and program."
"304","Universal thermostat. Cooling and heating.. I think it has differential adjustment also.Used to convert refrigeration to freezer. Door on Top."
"305","fermented 2 different beers so far, and now that I know this works this well, more brewing will be commencing shortly!"
"306","Lager beers will flow like a river from my new garage Lager Station.  Works perfectly."
"307","Excelente Product"
"308","I'm just going to state this now: the unit works as expected now that I tore it apart and connected the wires that weren't connected. If I didn't have to do this, unit would have gotten at least 4 stars.Bought this unit for use with a keezer I'm building.First thing I noticed on powering it up was a blinking error code. Manual said error code was related to the sensor not working. Oh joy. So, I pop the unit open and find the temperature sensor is only connected with one wire. The other wire? It was disconnected and brushing up against the surface mount devices on the little main board. Scary fire hazard, especially when dealing with AC power. Luckily the manual/directions had the wiring diagram. Problem solved.The take away on this? Before using the unit make sure all the wiring is done properly."
"309","I purchased this Johnson digital thermostat control unit to convert a freezer to a refrigerator.  Although you will need to find a suitable place to drill a hole for the temperature probe without damaging the freezer's working parts it is easy to install.  Programing is simple and unit works as advertised."
"310","Originally used it for temp control for my home brew fermentation chamber, However I couldn't give it a full five stars because it only provides one part of the control (heating or cooling, not both at the same time).  I ended up selling mine and made my own homemade STC-1000 controller with a project box and other parts that all combined were about 60% of the cost of this unit.If ur looking for one way temp control, its simple, easy and effective right out of the box.  If your looking for more specific control, not just heating or just cooling, consider a dual purpose temp controller."
"311","A little complicated to set up but one I got it configured it works perfectly.  Do not buy unless you are confortable taking it apart and movingthejumper from one set of pins to another."
"312","Johnson Controls Digital Thermostat Control UnitThe unit was easy to program and seems to be working fine. You only need to set the temp. you want, unless you have some tight variables. I only wanted to control a refrigerator temperature to age cheese. I'm quite pleased!"
"313","Works great and may be getting another. Perfect for mini friges"
"314","Came on time. Everything worked like it should."
"315","Works perfectly!  Easy to use."
"316","Works great for a freezer converted to a refrigerator.  Has lots of options for controlling.  At 35F my food stays so much longer in my freezer chest converted to a refrigerator than in my upright refrigerator."
"317","Hooked this up to a $30 turkey cooker to make a cheap sous vide. Works perfectly."
"318","Works great, very customizable."
"319","I have had a few and they all work great!"
"320","Perfect! Thank you :)"
"321","A+A+A+A+A"
"322","I bought this unit to make a simple ""plug and play"" type controller to modify a freezer into a keezer for homebrewing. It is just that easy to use, (remember to read the instructions before initial start) and now I can have the temperature option to ferment lagers, or crash chill for bottling. This is the one to get, and this is the place to get it. Thanks!"
"323","Fermentation chamber running great."
"324","Works great.  Our little gecko stays warm.  The numeric display is a little hard to see in my situation but I don't need to really see it."
"325","Using this to control the temp in a home brew keezer. Works great !! Make sure to set the jumper configuration correctly."
"326","Fast shipping, product as expected"
"327","I love this, easy to use, made my stand up freezer a fridge in seconds!!"
"328","Product works great. Easy to set up. Installed in my new 7.0 cu-ft chest freezer that was on sale and for just over $200, I have a nice Korean style kim-je refrigerator. Foods seem to keep for ever. I would highly recommend for this purpose."
"329","What's to say! Since I'm already using one for my keezer, I already knew what to expect. I believe these are rated for 12 amps. The commercial refer that I acquired draws roughly 10.5 amps. So this may be an inexpensive experiment."
"330","The item was the controller, it was the less expensive alternative. Will not buy from that vendor again."
"331","Rugged yet small enough to be mounted on a micro fridge. Keeps my kegerator at a steady 37 degrees without overburdening the compressor."
"332","Works great I used it to turn an old freezer in to a great beer cooler."
"333","It works very well as advertised."
"334","i apprecite it"
"335","Im very sorry to inform you that the control does not work. One of the two control botton its stuck and its imposible to set a control temperatura."
"336","I cleaned up an old beaten kegerator. The on board thermostat kicked in at 40degF and wouldn't shut off until it reached 22degF. I feel so bad for that keg... The external thermostat solved all my problems: set the on board low temp (it's good at that), plugged in the digital thermostat slightly tweaked, which is easy, and all is well.Cheers."
"337","I used this for controlling the temperature of a refrigerator for homebrewing a lager beer. It worked great and I had no issues."
"338","I love this thing.  Super accurate and shipped fast.  I'm now making lagers and am able to cold crash my dry hopped beers to get good clear beer without expensive or time consuming filtratipn."
"339","As of now I am very pleased with this. I have been using it for a few months and could not be happier. As long as it lasts I will remain thrilled."
"340","works great to heat my mead along with a ferm wrap"
"341","I'm going 4 stars instead of 5 only because the instructions are not as stupid proof as I normally need. Probably better for someone with a bit more technical know-how, but I figured it out pretty easily. Item works great in making my Keezer a reality."
"342","I have 2 and they both work great."
"343","Built a fermentation chamber and currently using it to keep my fermentation at my desired temps. Working awesome."
"344","I bought this to convert a chest freezer to a kegerator for homebrewing.  It is very easy to set up and works just like it should.  I have had zero issues with this.  Also, I bought this on a Friday morning, and the package arrived the next day.  Still not sure how they did that.  I would recommend this."
"345","These work great, but don't let them get wet.  My first one fried when it got a little water on it, but it is still a good product"
"346","Works great for my keezer. Keeps my beer at the perfect temperature. If I ever build another one, I would buy this again."
"347","Just recieved this item not 3 days ago and have my first batch in my 22 cubic ft ferment fridge holding at a steady 67 degrees ..would recommend to anyone in warmer areas doing home brewing.And to top that off best price i have found on this already wired controller anywhere and the shipping was super fast got it in 2 days."
"348","I have this on a True Kegerator.  Very accurate and easy to use.  The dial style thermostat went bad so I bypassed that and I rewired compressor to the Johnson Control and fan separately so it stays on all the time.  Now I know exactly what temp the beer is at..  Great product."
"349","works great"
"350","I have it set on 68 for fermenting beer, and it fluctuates from 59 to 74...not acceptable, or what I expected for $80.  Only getting 1 star because it won't let me give 0"
"351","Using to convert a chest freezer into a wine chiller to be used in a winery. Digital readout makes it easy."
"352","Does the joob better than I expected it would maintains my freezer temperatures exactly where i want it to be. I turned my freezer into a kegerator using this handy dandy device worth every penny. I have it regulating my freezer temps at 38 degrees and it keeps my keg nice and cold! I have had it running for about 1 week and I am truely amazed. And the LCD display is so attractive and easy to use and the price was just so affordable. I recieved the unit 3 days before the estimated delivery date and I live in Hawaii."
"353","Product works as advertised. It is keeping my lager beer at 31-32 degrees consistently with no worries or temp fluctuations."
"354","Would like to give it five stars but found the directions a little confusing for me. After finding a demo on youtube it all made sense. Changed the factory set up and has been working perfectly. I would recommend it to anyone who wants to control a temperature to a high tolerance."
"355","This keeps my kegerator from freezing up"
"356","Perfect to turn my old chest freezer into a lager chest for beer making. Works great."
"357","This is exactly what you need if you want to turn a freezer into a ""keezer"" for home brewing.  Works great."
"358","Use this on my kegerator out in the garage. We live in the Houston area so obviously the garage is more hot year round than cold. Haven't had any issues yet. If you can plug an electrical cord into a wall socket, you can install this."
"359","Quality product that's been durable over time."
"360","Works great does what it say's it will do."
"361","I don't know a whole lot about these temperature control units but so far, it is getting the job done with no problems.  It was fairly easy to mount.  The directions are a little tough because they don't fully explain some of the features."
"362","I ordered this as a temp controller for a kegerator I built.  Following the instructions I had it up and running in no time.  It took about a day for the temps to stabilize but now it hold very nicely.  This is highly recommended for anyone who has built a kegerator for homebrewing beer."
"363","this product worked great.  simply plug unit into wall, plug fridge into thermostat.  run your probe in through the drain hole, ""at least that worked easy for my on my Danby minifridge.""  The menu takes about 5 mins for a chimp to figure out.  not very hard at all those that complain about its ""complexity"" I would question the rest of their review and if they should be bothering with building any project that deals with electricity...  Just read the manual included and it details what needs to be done.  this is a great setup!"
"364","Works exactly as advertised- Perfect!"
"365","it works"
"366","Perfect for my keezer (freezer / kegorator).  Keeps beer at a constant 40 degrees.  I couldn't be happier."
"367","Used it to control a new GE freezer to act as a root cellar. There are spots in the freezer bottom even though the probe is on the bottom, that froze water when set at 34. So the controller is set at 38 which has the unit running between 35 and 39 with no ice anywhere in the bottom of the freezer."
"368","Koreans usually contain our Kimchi in a Kimchi freezer that can maintain 0 degree Celcius (32 degrees Fahrenheit) accurately. Not only Kimchi but most vegetables and fruits are fresher in a Kimchi freezer than in a rough ordinary refrigerator that can only maintain temperatures in several degrees of wide range. Korean ancestors digged a ground hole and contained Kimchi there along the winter. Generally genuine Kimchi freezers have very accurate temperature controls but very expensive because of their unique freezing apparatus.One of Korean engineer in US (I can't remember him now, except he wrote his work in the missyusa website) made an idea that this Johnson Control Unit could be combined with a chest freezer to make a Kimchi freezer in a reasonable price. I made my own Kimchi freezer with Danby DCF700W1 7.0 cu. ft. Chest Freezer. Then I set the Johnson Control's target temperature to 34F, and squeeze the control range to just 1 degree. The Thermo-couple (temperature detector tip) is floated in the air of the center of the freezer. The machine's operating rule is very simple. Cooler than target temperature, switch off. Warmer than target temperature, swith on. All automatically.The result is awesome. The air temperature at the center of the freezer easily maintained from 29F to 34F. Womderful!p.s. However, I changed the setting to 36F to contain vegetables :)"
"369","I'm using this with my keg fridge that had a very poor temp control in it.  This is much better.Very easy to use and the setup.  The configurable deadband and min off times are very nice.I now have my beer at 0 to 1 degree without freezing, very very nice!"
"370","This controller is already wired, so all you have to do is plug it in and set your temperature through the digital display."
"371","Works perfectly out of the box. Easy to use, good instructions"
"372","Working great so far, let's hope it lasts a long time!"
"373","I chose this unit as I had seen it in action from other home brewers. It is simple to install, easy to set and is pretty much plug and play. It controls my 'Keezer' perfectly, and I never have to worry about temperature fluctuation. I will be buying another for my refrigerator so I can control it better as well. THIS UNIT IS AN ABSOLUTE MUST FOR HOMEBREWERS"
"374","This device, the Johnson Controls Digital Thermostat Control Unit, performs exactly as specified. If you need something like this device, this is the one to get."
"375","Ordered the A419, got the A421.  Giving it a try anyway."
"376","So far so good.  Does what it's supposed to do and seems well built.  My only mild complaints are that it seems a bit expensive and the directions are not as clearly written as they should be."
"377","This item did not work right out of the box. I have had a blue box Johnson Controls and it has worked for me for years. Spend the extra few bucks on that one."
"378","Great digital control, ought it so I am better able to have my homebrew fermenting at the proper temp.,loving it."
"379","It works perfect."
"380","Easy to use and set up. Exactly what is needed for keeping a freezer at temperatures as desired. Slightly bulky. But otherwise perfect."
"381","Bought this to accurately control the temp of my 5 cu ft chest freezer for home brewing lagers and Alt beers.Love it."
"382","This little unit does exactly what I needed.I use this for climate control in a small area.It works great. Instructions are easy and accurate."
"383","I have been using these in regulating temperature for my snakes for last few years, combine these with a radiant heat panel and I have had much success so far I have had 3 going for a year with no issues and will be getting a 4th."
"384","If you are a home brewer wanting to keep a chest freezer at the right temp to brew beer, this unit is for you.  No alterations to the freezer are required.  Plug the freezer to the temp controller, plug in the controller, press set set arrow up or down to temp desired, press set and you are done!  VERY simple!"
"385","Exquisite for homebrew purposes!"
"386","MUCH BETTER THAN EXPECTED FOR MY USE."
"387","good product"
"388","nice working !!!"
"389","I recommend this for the homebrewer who is looking to brew lagers, as is will more accurately control the temperature of your refrigerator/chest freezer."
"390","Works great for my kegerator."
"391","Works great.  If you need a controller that is temperature controlled this does the job.  Easy to operate and set."
"392","I initially thought I was going to need to wire it into the power cord on my freeze myself, but it was actually a simple plug and play. Easy to follow directions for setting your control settings made it that much easier. I couldn't be happier."
"393","Excellent device, simple to use, does what it says on the box, just plug and play.  Perfect for controlling freezers for fermenting and largering"
"394","This controller is hooked up to my mini-fridge for lagering  my beer.  Works well.  I would like to see the manual written with more user friendly language."
"395","Plugged it into to a cheap 5 cubic ft freezer to keep keg/fermenter at optimal temperature.  Very easy to use digital interface, no need to wire anything manually."
"396","Directions are complicated"
"397","Used this device to build a home made kegerator and it works very well. Will buy another when I finally put my lagering system together."
"398","Works great"
"399","Great quality.  This is easy to set up and can very accurately hold my fermentation temps within 1-2 degrees.  Will do heating mode or cooling mode."
